,support,itemsets
0,0.013853904282115869,frozenset({'Aamir Khan'})
1,0.0025188916876574307,frozenset({'Aamna Shariff'})
2,0.005037783375314861,frozenset({'Aarti Chhabria'})
3,0.006297229219143577,frozenset({'Aashish Chaudhary'})
4,0.0025188916876574307,frozenset({'Abhay Bhargav'})
5,0.010075566750629723,frozenset({'Abhay Deol'})
6,0.0025188916876574307,frozenset({'Abhay Joshi'})
7,0.022670025188916875,frozenset({'Abhishek Bachchan'})
8,0.003778337531486146,frozenset({'Achint Kaur'})
9,0.003778337531486146,frozenset({'Adhyayan Suman'})
10,0.0025188916876574307,frozenset({'Adi Irani'})
11,0.0025188916876574307,frozenset({'Adil Hussain'})
12,0.005037783375314861,frozenset({'Aditya Roy Kapoor'})
13,0.003778337531486146,frozenset({'Aditya Srivastava'})
14,0.017632241813602016,frozenset({'Aftab Shivdasani'})
15,0.0025188916876574307,frozenset({'Ahsaas Channa'})
16,0.012594458438287154,frozenset({'Aishwarya Rai Bachchan'})
17,0.03904282115869018,frozenset({'Ajay Devgn'})
18,0.003778337531486146,frozenset({'Akhilendra Mishra'})
19,0.003778337531486146,frozenset({'Akshay Kapoor'})
20,0.030226700251889168,frozenset({'Akshay Kumar'})
21,0.012594458438287154,frozenset({'Akshaye Khanna'})
22,0.005037783375314861,frozenset({'Ali Fazal'})
23,0.005037783375314861,frozenset({'Ali Zafar'})
24,0.003778337531486146,frozenset({'Alia Bhatt'})
25,0.006297229219143577,frozenset({'Alok Nath'})
26,0.0025188916876574307,frozenset({'Alyy Khan'})
27,0.003778337531486146,frozenset({'Aman Verma'})
28,0.0025188916876574307,frozenset({'Amardeep Jha'})
29,0.011335012594458438,frozenset({'Ameesha Patel'})
30,0.0025188916876574307,frozenset({'Amin Hajee'})
31,0.042821158690176324,frozenset({'Amitabh Bachchan'})
32,0.011335012594458438,frozenset({'Amrish Puri'})
33,0.006297229219143577,frozenset({'Amrita Arora'})
34,0.003778337531486146,frozenset({'Amrita Puri'})
35,0.008816120906801008,frozenset({'Amrita Rao'})
36,0.003778337531486146,frozenset({'Amrita Singh'})
37,0.0025188916876574307,frozenset({'Amruta Khanvilkar'})
38,0.003778337531486146,frozenset({'Anand Abhyankar'})
39,0.005037783375314861,frozenset({'Anang Desai'})
40,0.0025188916876574307,frozenset({'Anant Jog'})
41,0.0163727959697733,frozenset({'Anil Kapoor'})
42,0.0025188916876574307,frozenset({'Anita Hassandani'})
43,0.0025188916876574307,frozenset({'Anjori Alagh'})
44,0.0025188916876574307,frozenset({'Ankur Khanna'})
45,0.0025188916876574307,frozenset({'Annu Kapoor'})
46,0.0025188916876574307,frozenset({'Anshuman Jha'})
47,0.0025188916876574307,frozenset({'Antara Mali'})
48,0.0025188916876574307,frozenset({'Anuj Sawhney'})
49,0.030226700251889168,frozenset({'Anupam Kher'})
50,0.0025188916876574307,frozenset({'Anupama Verma'})
51,0.010075566750629723,frozenset({'Anushka Sharma'})
52,0.017632241813602016,frozenset({'Arbaaz Khan'})
53,0.003778337531486146,frozenset({'Archana Puran Singh'})
54,0.003778337531486146,frozenset({'Arjan Bajwa'})
55,0.006297229219143577,frozenset({'Arjun Kapoor'})
56,0.003778337531486146,frozenset({'Arjun Mathur'})
57,0.020151133501259445,frozenset({'Arjun Rampal'})
58,0.010075566750629723,frozenset({'Arshad Warsi'})
59,0.005037783375314861,frozenset({'Arun Bakshi'})
60,0.0025188916876574307,frozenset({'Aruna Shields'})
61,0.003778337531486146,frozenset({'Arunoday Singh'})
62,0.005037783375314861,frozenset({'Arya Babbar'})
63,0.0025188916876574307,frozenset({'Aryeman Ramsay'})
64,0.006297229219143577,frozenset({'Ashmit Patel'})
65,0.008816120906801008,frozenset({'Ashutosh Rana'})
66,0.003778337531486146,frozenset({'Ashwini Khalsekar'})
67,0.006297229219143577,frozenset({'Asif Basra'})
68,0.003778337531486146,frozenset({'Asrani'})
69,0.0025188916876574307,frozenset({'Asseem Merchant'})
70,0.007556675062972292,frozenset({'Atul Kulkarni'})
71,0.0025188916876574307,frozenset({'Aushima Sawhney'})
72,0.006297229219143577,frozenset({'Avtar Gill'})
73,0.0025188916876574307,frozenset({'Ayesha Jhulka'})
74,0.0025188916876574307,frozenset({'Ayesha Kapoor'})
75,0.011335012594458438,frozenset({'Ayesha Takia'})
76,0.005037783375314861,frozenset({'Ayub Khan'})
77,0.0025188916876574307,frozenset({'Beena Banerjee'})
78,0.003778337531486146,frozenset({'Benjamin Gilani'})
79,0.003778337531486146,frozenset({'Bharati Achrekar'})
80,0.003778337531486146,frozenset({'Bhoomika Chawla'})
81,0.02392947103274559,frozenset({'Bipasha Basu'})
82,0.003778337531486146,frozenset({'Birbal'})
83,0.021410579345088162,frozenset({'Bobby Deol'})
84,0.020151133501259445,frozenset({'Boman Irani'})
85,0.0025188916876574307,frozenset({'Brijendra Kala'})
86,0.007556675062972292,frozenset({'Celina Jaitly'})
87,0.003778337531486146,frozenset({'Chitrangda Singh'})
88,0.005037783375314861,frozenset({'Chunky Pandey'})
89,0.0025188916876574307,frozenset({'Cyrus Sahukar'})
90,0.0025188916876574307,frozenset({'Dalip Tahil'})
91,0.003778337531486146,frozenset({'Danny Denzongpa'})
92,0.005037783375314861,frozenset({'Darshan Jariwala'})
93,0.0025188916876574307,frozenset({'Darsheel Safary'})
94,0.007556675062972292,frozenset({'Deepak Dobriyal'})
95,0.0025188916876574307,frozenset({'Deepal Shaw'})
96,0.015113350125944584,frozenset({'Deepika Padukone'})
97,0.003778337531486146,frozenset({'Deepti Naval'})
98,0.0025188916876574307,frozenset({'Delzad Hiwale'})
99,0.0025188916876574307,frozenset({'Dev Anand'})
100,0.008816120906801008,frozenset({'Dharmendra'})
101,0.012594458438287154,frozenset({'Dia Mirza'})
102,0.0025188916876574307,frozenset({'Dilip Prabhavalkar'})
103,0.011335012594458438,frozenset({'Dimple Kapadia'})
104,0.006297229219143577,frozenset({'Dinesh Hingoo'})
105,0.006297229219143577,frozenset({'Dino Morea'})
106,0.003778337531486146,frozenset({'Dipannita Sharma'})
107,0.0163727959697733,frozenset({'Divya Dutta'})
108,0.0025188916876574307,frozenset({'Dwij Yadav'})
109,0.0025188916876574307,frozenset({'Ehsan Khan'})
110,0.020151133501259445,frozenset({'Emraan Hashmi'})
111,0.010075566750629723,frozenset({'Esha Deol'})
112,0.0025188916876574307,frozenset({'Esha Gupta'})
113,0.012594458438287154,frozenset({'Fardeen Khan'})
114,0.006297229219143577,frozenset({'Farhan Akhtar'})
115,0.011335012594458438,frozenset({'Farida Jalal'})
116,0.010075566750629723,frozenset({'Farooq Shaikh'})
117,0.0025188916876574307,frozenset({'Gajendra Chouhan'})
118,0.0025188916876574307,frozenset({'Gauhar Khan'})
119,0.006297229219143577,"frozenset({""Genelia D'Souza""})"
120,0.005037783375314861,frozenset({'Girish Karnad'})
121,0.006297229219143577,frozenset({'Govind Namdeo'})
122,0.006297229219143577,frozenset({'Govinda'})
123,0.007556675062972292,frozenset({'Gracy Singh'})
124,0.010075566750629723,frozenset({'Gul Panag'})
125,0.022670025188916875,frozenset({'Gulshan Grover'})
126,0.003778337531486146,frozenset({'Harman Baweja'})
127,0.006297229219143577,frozenset({'Hazel Croney'})
128,0.005037783375314861,frozenset({'Hema Malini'})
129,0.003778337531486146,frozenset({'Himanshu Malik'})
130,0.005037783375314861,frozenset({'Himesh Reshammiya'})
131,0.008816120906801008,frozenset({'Hrishitaa Bhatt'})
132,0.013853904282115869,frozenset({'Hrithik Roshan'})
133,0.005037783375314861,frozenset({'Ila Arun'})
134,0.012594458438287154,frozenset({'Imran Khan'})
135,0.0025188916876574307,frozenset({'Inder Kumar'})
136,0.018891687657430732,frozenset({'Irrfan Khan'})
137,0.0025188916876574307,frozenset({'Isaiah'})
138,0.005037783375314861,frozenset({'Isha Koppikar'})
139,0.0025188916876574307,frozenset({'Isha Sharvani'})
140,0.0025188916876574307,frozenset({'Ishita Sharma'})
141,0.005037783375314861,frozenset({'Ishrat Ali'})
142,0.0025188916876574307,frozenset({'J. Brandon Hill'})
143,0.018891687657430732,frozenset({'Jackie Shroff'})
144,0.003778337531486146,frozenset({'Jacky Bhagnani'})
145,0.0025188916876574307,frozenset({'Jacqueline Fernandez'})
146,0.0025188916876574307,frozenset({'Jaideep Ahlawat'})
147,0.0025188916876574307,frozenset({'Jas Arora'})
148,0.003778337531486146,frozenset({'Javed Jaffrey'})
149,0.0025188916876574307,frozenset({'Javed Sheikh'})
150,0.006297229219143577,frozenset({'Jaya Bhaduri'})
151,0.0025188916876574307,frozenset({'Jiah Khan'})
152,0.020151133501259445,frozenset({'Jimmy Shergill'})
153,0.02392947103274559,frozenset({'John Abraham'})
154,0.005037783375314861,frozenset({'Johnny Lever'})
155,0.006297229219143577,frozenset({'Juhi Chawla'})
156,0.005037783375314861,frozenset({'Kabir Bedi'})
157,0.0025188916876574307,frozenset({'Kajal Agarwal'})
158,0.007556675062972292,frozenset({'Kajol'})
159,0.005037783375314861,frozenset({'Kalki Koechlin'})
160,0.018891687657430732,frozenset({'Kangana Ranaut'})
161,0.0025188916876574307,frozenset({'Kanwaljit Singh'})
162,0.02518891687657431,frozenset({'Kareena Kapoor'})
163,0.0025188916876574307,frozenset({'Karisma Kapoor'})
164,0.0025188916876574307,frozenset({'Kashmira Shah'})
165,0.011335012594458438,frozenset({'Katrina Kaif'})
166,0.022670025188916875,frozenset({'Kay Kay Menon'})
167,0.0025188916876574307,frozenset({'Kiran Janjani'})
168,0.0025188916876574307,frozenset({'Kiran Kumar'})
169,0.010075566750629723,frozenset({'Kiron Kher'})
170,0.015113350125944584,frozenset({'Konkona Sen Sharma'})
171,0.0025188916876574307,frozenset({'Krishna Bhatt'})
172,0.003778337531486146,frozenset({'Kulbhushan Kharbanda'})
173,0.003778337531486146,frozenset({'Kunal Kapoor'})
174,0.007556675062972292,frozenset({'Kunal Khemu'})
175,0.0025188916876574307,frozenset({'Kurush Deboo'})
176,0.008816120906801008,frozenset({'Lara Dutta'})
177,0.003778337531486146,frozenset({'Laxmikant Berde'})
178,0.0025188916876574307,frozenset({'Leigh Barwell'})
179,0.008816120906801008,frozenset({'Lillete Dubey'})
180,0.0025188916876574307,frozenset({'Linda Arsenio'})
181,0.0025188916876574307,frozenset({'Lucky Ali'})
182,0.0025188916876574307,frozenset({'Luke Kenny'})
183,0.011335012594458438,frozenset({'Madhavan'})
184,0.0025188916876574307,frozenset({'Madhuri Bhattacharya'})
185,0.007556675062972292,frozenset({'Madhuri Dixit'})
186,0.0025188916876574307,frozenset({'Mahek Chahal'})
187,0.006297229219143577,frozenset({'Mahesh Manjrekar'})
188,0.008816120906801008,frozenset({'Mahie Gill'})
189,0.007556675062972292,frozenset({'Mahima Chaudhry'})
190,0.0025188916876574307,frozenset({'Makarand Anaspure'})
191,0.005037783375314861,frozenset({'Makrand Deshpande'})
192,0.003778337531486146,frozenset({'Malaika Arora'})
193,0.0025188916876574307,frozenset({'Malavikka'})
194,0.010075566750629723,frozenset({'Mallika Sherawat'})
195,0.003778337531486146,frozenset({'Manav Kaul'})
196,0.003778337531486146,frozenset({'Mandira Bedi'})
197,0.005037783375314861,frozenset({'Manish Chaudhary'})
198,0.011335012594458438,frozenset({'Manisha Koirala'})
199,0.0025188916876574307,frozenset({'Manjari Phadnis'})
200,0.018891687657430732,frozenset({'Manoj Bajpayee'})
201,0.0025188916876574307,frozenset({'Mansi Dovhal'})
202,0.0025188916876574307,frozenset({'Mantra'})
203,0.003778337531486146,frozenset({'Manu Rishi Chadha'})
204,0.0025188916876574307,frozenset({'Meghna Naidu'})
205,0.006297229219143577,frozenset({'Milind Gunaji'})
206,0.003778337531486146,frozenset({'Milind Soman'})
207,0.0025188916876574307,frozenset({'Mimoh Chakraborty'})
208,0.010075566750629723,frozenset({'Minissha Lamba'})
209,0.0025188916876574307,frozenset({'Mita Vasisht'})
210,0.017632241813602016,frozenset({'Mithun Chakraborty'})
211,0.003778337531486146,frozenset({'Mohammed Zeeshan Ayyub'})
212,0.0025188916876574307,frozenset({'Mohan Agashe'})
213,0.0025188916876574307,frozenset({'Mohan Joshi'})
214,0.003778337531486146,frozenset({'Mohit Ahlawat'})
215,0.008816120906801008,frozenset({'Mohnish Bahl'})
216,0.0025188916876574307,frozenset({'Moushumi Chatterjee'})
217,0.005037783375314861,frozenset({'Mugdha Godse'})
218,0.0025188916876574307,frozenset({'Mukesh Ahuja'})
219,0.005037783375314861,frozenset({'Mukesh Bhatt'})
220,0.006297229219143577,frozenset({'Mukesh Tiwari'})
221,0.0025188916876574307,frozenset({'Mukul Dev'})
222,0.0025188916876574307,frozenset({'Murad Ali'})
223,0.005037783375314861,frozenset({'Nafisa Ali'})
224,0.006297229219143577,frozenset({'Nagesh Bhonsle'})
225,0.005037783375314861,frozenset({'Namrata Shirodkar'})
226,0.013853904282115869,frozenset({'Nana Patekar'})
227,0.005037783375314861,frozenset({'Nandita Das'})
228,0.0025188916876574307,frozenset({'Narendra Bedi'})
229,0.0025188916876574307,frozenset({'Naresh Gosain'})
230,0.0025188916876574307,frozenset({'Nargis Bagheri'})
231,0.020151133501259445,frozenset({'Naseeruddin Shah'})
232,0.007556675062972292,frozenset({'Nassar Abdulla'})
233,0.0025188916876574307,frozenset({'Nasser'})
234,0.006297229219143577,frozenset({'Nauheed Cyrusi'})
235,0.0025188916876574307,frozenset({'Naved Aslam'})
236,0.005037783375314861,frozenset({'Nawazuddin Siddiqui'})
237,0.0025188916876574307,frozenset({'Neelu Kohli'})
238,0.003778337531486146,frozenset({'Neena Gupta'})
239,0.010075566750629723,frozenset({'Neetu Chandra'})
240,0.010075566750629723,frozenset({'Neha Dhupia'})
241,0.005037783375314861,frozenset({'Neha Sharma'})
242,0.007556675062972292,frozenset({'Neil Nitin Mukesh'})
243,0.0025188916876574307,frozenset({'Nikita Anand'})
244,0.0025188916876574307,frozenset({'Nina Kulkarni'})
245,0.0025188916876574307,frozenset({'Nishan Nanaiah'})
246,0.0025188916876574307,frozenset({'Nushrat Bharucha'})
247,0.02644836272040302,frozenset({'Om Puri'})
248,0.0025188916876574307,frozenset({'Padam Bhola'})
249,0.005037783375314861,frozenset({'Pankaj Berry'})
250,0.003778337531486146,frozenset({'Pankaj Kapur'})
251,0.0025188916876574307,frozenset({'Parambrata Chatterjee'})
252,0.02392947103274559,frozenset({'Paresh Rawal'})
253,0.0025188916876574307,frozenset({'Parimal Aloke'})
254,0.006297229219143577,frozenset({'Parineeti Chopra'})
255,0.007556675062972292,frozenset({'Parvin Dabas'})
256,0.005037783375314861,frozenset({'Pavan Malhotra'})
257,0.0025188916876574307,frozenset({'Piyush Mishra'})
258,0.003778337531486146,frozenset({'Pooja Batra'})
259,0.003778337531486146,frozenset({'Prachi Desai'})
260,0.006297229219143577,frozenset({'Prakash Raj'})
261,0.0025188916876574307,frozenset({'Prashant Narayanan'})
262,0.003778337531486146,frozenset({'Prateik'})
263,0.0025188916876574307,frozenset({'Preeti Desai'})
264,0.015113350125944584,frozenset({'Preity Zinta'})
265,0.003778337531486146,frozenset({'Prem Chopra'})
266,0.003778337531486146,frozenset({'Priya Anand'})
267,0.028967254408060455,frozenset({'Priyanka Chopra'})
268,0.0025188916876574307,frozenset({'Priyanka Kothari'})
269,0.006297229219143577,frozenset({'Priyanshu Chatterjee'})
270,0.0025188916876574307,frozenset({'Puja Gupta'})
271,0.006297229219143577,frozenset({'Purab Kohli'})
272,0.0025188916876574307,frozenset({'Puru Rajkumar'})
273,0.010075566750629723,frozenset({'Raghuvir Yadav'})
274,0.007556675062972292,frozenset({'Rahul Bose'})
275,0.008816120906801008,frozenset({'Rahul Dev'})
276,0.003778337531486146,frozenset({'Rahul Khanna'})
277,0.0025188916876574307,frozenset({'Rahul Singh'})
278,0.006297229219143577,frozenset({'Raima Sen'})
279,0.003778337531486146,frozenset({'Raj Arjun'})
280,0.007556675062972292,frozenset({'Raj Babbar'})
281,0.0025188916876574307,frozenset({'Raj Singh Chaudhary'})
282,0.0025188916876574307,frozenset({'Rajat Bedi'})
283,0.012594458438287154,frozenset({'Rajat Kapoor'})
284,0.003778337531486146,frozenset({'Rajeev Khandelwal'})
285,0.003778337531486146,frozenset({'Rajendranath Zutshi'})
286,0.005037783375314861,frozenset({'Rajit Kapoor'})
287,0.005037783375314861,frozenset({'Rajkummar Rao'})
288,0.0025188916876574307,frozenset({'Rajneesh Duggal'})
289,0.0163727959697733,frozenset({'Rajpal Yadav'})
290,0.007556675062972292,frozenset({'Rakesh Bedi'})
291,0.003778337531486146,frozenset({'Ram Kapoor'})
292,0.0025188916876574307,frozenset({'Rana Jung Bahadur'})
293,0.010075566750629723,frozenset({'Ranbir Kapoor'})
294,0.0163727959697733,frozenset({'Randeep Hooda'})
295,0.022670025188916875,frozenset({'Rani Mukerji'})
296,0.0025188916876574307,frozenset({'Rannvijay Singh'})
297,0.007556675062972292,frozenset({'Ranveer Singh'})
298,0.013853904282115869,frozenset({'Ranvir Shorey'})
299,0.0163727959697733,frozenset({'Rati Agnihotri'})
300,0.011335012594458438,frozenset({'Raveena Tandon'})
301,0.007556675062972292,frozenset({'Ravi Kishan'})
302,0.0025188916876574307,frozenset({'Reema Sen'})
303,0.003778337531486146,frozenset({'Rehan Khan'})
304,0.005037783375314861,frozenset({'Rekha'})
305,0.005037783375314861,frozenset({'Revathy'})
306,0.003778337531486146,frozenset({'Richa Chadda'})
307,0.007556675062972292,frozenset({'Rimi Sen'})
308,0.021410579345088162,frozenset({'Rishi Kapoor'})
309,0.003778337531486146,frozenset({'Rita Bhaduri'})
310,0.013853904282115869,frozenset({'Ritesh Deshmukh'})
311,0.005037783375314861,frozenset({'Rituparna Sengupta'})
312,0.003778337531486146,frozenset({'Riya Sen'})
313,0.003778337531486146,frozenset({'Rohini Hattangadi'})
314,0.003778337531486146,frozenset({'Ronit Roy'})
315,0.003778337531486146,frozenset({'Rukhsar'})
316,0.0025188916876574307,frozenset({'Sabyasachi Chakraborty'})
317,0.008816120906801008,frozenset({'Sachin Khedekar'})
318,0.0025188916876574307,frozenset({'Sada'})
319,0.007556675062972292,frozenset({'Sadashiv Amrapurkar'})
320,0.0025188916876574307,frozenset({'Sagarika Ghatge'})
321,0.020151133501259445,frozenset({'Saif Ali Khan'})
322,0.0025188916876574307,frozenset({'Salil Acharya'})
323,0.027707808564231738,frozenset({'Salman Khan'})
324,0.0025188916876574307,frozenset({'Salman Shahid'})
325,0.0025188916876574307,frozenset({'Sameer Kochhar'})
326,0.003778337531486146,frozenset({'Sameera Reddy'})
327,0.0025188916876574307,frozenset({'Samir Soni'})
328,0.003778337531486146,frozenset({'Sammir Dattani'})
329,0.0025188916876574307,frozenset({'Sandali Sinha'})
330,0.0025188916876574307,frozenset({'Sandhya Mridul'})
331,0.028967254408060455,frozenset({'Sanjay Dutt'})
332,0.0025188916876574307,frozenset({'Sanjay Gandhi'})
333,0.005037783375314861,frozenset({'Sanjay Kapoor'})
334,0.005037783375314861,frozenset({'Sanjay Mishra'})
335,0.011335012594458438,frozenset({'Sanjay Suri'})
336,0.0025188916876574307,frozenset({'Sanjiv Chopra'})
337,0.0025188916876574307,frozenset({'Saqib Saleem'})
338,0.005037783375314861,frozenset({'Sarika'})
339,0.0025188916876574307,frozenset({'Sarita Joshi'})
340,0.005037783375314861,frozenset({'Satish Kaushik'})
341,0.010075566750629723,frozenset({'Satish Shah'})
342,0.010075566750629723,frozenset({'Saurabh Shukla'})
343,0.0025188916876574307,frozenset({'Sayaji Shinde'})
344,0.003778337531486146,frozenset({'Sayali Bhagat'})
345,0.011335012594458438,frozenset({'Seema Biswas'})
346,0.003778337531486146,frozenset({'Shaad Randhawa'})
347,0.005037783375314861,frozenset({'Shabana Azmi'})
348,0.020151133501259445,frozenset({'Shah Rukh Khan'})
349,0.005037783375314861,frozenset({'Shahana Goswami'})
350,0.0025188916876574307,frozenset({'Shahbaaz Khan'})
351,0.0163727959697733,frozenset({'Shahid Kapoor'})
352,0.005037783375314861,frozenset({'Shakti Kapoor'})
353,0.0025188916876574307,frozenset({'Shama Deshpande'})
354,0.0025188916876574307,frozenset({'Sharad Kelkar'})
355,0.003778337531486146,frozenset({'Sharad S. Kapoor'})
356,0.007556675062972292,frozenset({'Sharat Saxena'})
357,0.010075566750629723,frozenset({'Sharman Joshi'})
358,0.0025188916876574307,frozenset({'Shatrughan Sinha'})
